In|Integer|around|
sho|short|around|
cu|cursor|around|
ecx|ecx|around|
VI|VIDEO_RAM|around|
sh|short|around|
jm|jmp|around|
cu|cursor|around|
dwo|dword|around|
vi|VIDEO_RAM|around|
sys|syscall|around|
_s|_start|around|
cl|class|clangd|k
ful|full_string|clangd|v
si|size|clangd|v
siz|size_t|clangd|I
for|for|clangd|S
prin|printf|clangd|f
con|convert_to_base_2|clangd|f
scan|scanf|clangd|f
retu|return|clangd|S
strin|string.h>|clangd|F
in|include|clangd|S
stdi|stdio.h>|clangd|F
in|include|clangd|S
prin|printf|around|
ful|full_string|clangd|v
ful|full_string|clangd|v
ful|full_string|clangd|v
re|result|clangd|v
re|result|clangd|v
re|result|clangd|v
G|GLOBAL_BIT|clangd|v
GLO|GLOBAL_BIT|clangd|v
se|second|clangd|v
fl|flag.c|file|
prin|printf|clangd|f
ful|full_string|clangd|v
ful|full_string|clangd|v
si|size|clangd|v
siz|size_t|clangd|I
for|for|clangd|S
SI|SIZE|clangd|v
fi|first|clangd|v
st|string|clangd|v
lo|local_string|clangd|v
prin|printf|clangd|f
prin|printf|clangd|f
l|local_string|clangd|v
ato|atoi|clangd|f
local_st|local_string|clangd|v
lo|local_size|clangd|v
local_si|local_size|clangd|v
lo|local_string|clangd|v
local_st|local_string|clangd|v
lo|local_size|clangd|v
strle|strlen|clangd|f
siz|size_t|clangd|I
st|string|clangd|v
make|make_string|clangd|f
ful|full_string|clangd|v
ful|full_string|clangd|v
make|make_string|clangd|f
ret|return|clangd|S
re|registers|clangd|v
string|string|clangd|v
pa|parse_command|clangd|f
st|string|clangd|v
ful|full_string|clangd|v
ma|make_string|clangd|f
ful|full_string|clangd|v
ful|full_string|clangd|v
re|registers|clangd|v
st|string|clangd|v
pars|parse_command|clangd|f
s|string|clangd|v
fu|full_string|clangd|v
make|make_string|around|
full|full_string|clangd|v
strcm|strcmp|clangd|f
ful|full_string|clangd|v
si|size|clangd|v
size|size_t|clangd|I
siz|size|clangd|v
for|for|clangd|S
ful|full_string|clangd|v
strle|strlen|clangd|f
siz|sizeof|clangd|S
siz|size_t|clangd|I
st|string|around|
s|string|clangd|v
ful|full_string|clangd|v
siz|size_t|clangd|I
si|string|clangd|v
size|size_t|clangd|I
si|sizeof|clangd|S
si|string|clangd|v
s|string|clangd|v
en|end|clangd|v
si|size_t|clangd|I
si|size_t|clangd|I
be|begin|clangd|v
si|size|clangd|v
ful|full_string|clangd|v
si|sizeof|clangd|S
siz|size_t|clangd|I
siz|size_t|clangd|I
fo|for|clangd|S
full|full_string|around|
cha|char|clangd|k
f|full_string|clangd|v
S|SIZE|clangd|v
se|second|clangd|v
fi|first|clangd|v
se|second|around|
fi|first|around|
prin|printf|clangd|f
prin|printf|clangd|f
stdli|stdlib.h>|clangd|F
in|include|clangd|S
exi|exit|around|
ret|return|clangd|S
prin|printf|clangd|f
Si|SIZE|clangd|v
se|second|clangd|v
SI|SIZE|clangd|v
fi|first|clangd|v
RE|REGISTERS|around|
f|elif|clangd|S
de|defined|clangd|S
end|endif|clangd|S
ifn|ifndef|clangd|S
ifde|ifdef|clangd|S
re|reg_two|clangd|v
re|registers|clangd|v
re|reg_one|clangd|v
reg|registers|clangd|v
re|reg_one|clangd|v
se|second|clangd|v
s|string|clangd|v
st|string|clangd|v
s|string|clangd|v
fge|fgetc|clangd|f
get|getline|clangd|f
getdel|getdelim|clangd|f
st|string|clangd|v
std|stdin|clangd|v
getli|getline|clangd|f
s|string|clangd|v
se|second|clangd|v
fi|first|clangd|v
se|second|around|
prin|printf|clangd|f
re|registers|clangd|v
ir|ir|clangd|f
r|registers|clangd|v
ir|ir|clangd|f
re|registers|clangd|v
ir|ir|clangd|f
re|registers|clangd|v
ir|ir|clangd|f
re|registers|clangd|v
prin|printf|clangd|f
SI|SIZE|clangd|v
de|define|clangd|S
si|size|clangd|v
re|registers|clangd|v
si|sizeof|clangd|S
re|registers|clangd|v
siz|sizeof|clangd|S
siz|size_t|clangd|I
s|size_t|around|
re|registers|clangd|v
size|size_t|clangd|I
fo|for|clangd|S
re|registers|around|
re|registers|clangd|v
re|registers|clangd|v
re|registers|around|
bre|break|clangd|S
re|registers|clangd|v
re|registers|clangd|v
re|registers|clangd|v
re|registers|around|
re|registers|around|
regi|registers|around|
se|second|clangd|v
fi|first|clangd|v
re|registers|clangd|v
fi|first|clangd|v
re|registers|around|
re|registers|around|
swi|switch|clangd|S
se|second|clangd|v
fi|first|clangd|v
sb|stdbool|around|
se|second|clangd|v
fi|first|clangd|v
ad|add|clangd|f
se|second|clangd|v
fi|first|clangd|v
fi|first|clangd|v
ret|return|clangd|S
brea|break|clangd|S
swi|switch|clangd|S
str|string|clangd|v
swi|switch|clangd|S
con|const|clangd|k
parse|parse_command|around|
